,0
288,-0.0005254999
289,-0.00052499
290,-0.00054066995
291,-0.00070728414
292,-0.00092678197
293,-0.0012333244
294,-0.0022168383
295,-0.0040921597
296,-0.007351145
297,-0.011667235
298,-0.018968126
299,-0.030046538
300,-0.0483928
301,-0.07681373
302,-0.110353895
303,-0.1391515
304,-0.15817888
305,-0.1731621
306,-0.17972164
307,-0.1824236
308,-0.18316664
309,-0.18163045
310,-0.17830274
311,-0.17260578
312,-0.16996607
313,-0.16344503
314,-0.15744139
315,-0.14905812
316,-0.14168139
317,-0.13228601
318,-0.12943162
319,-0.14151642
320,-0.20766932
321,-0.33991498
322,-0.5505747
323,-0.84934014
324,-1.3484591
325,-2.0639682
326,-2.8742313
327,-3.8397083
328,-5.037004
329,-6.479199
330,-9.893577
331,-11.726007
332,-12.362942
333,-12.273315
334,-11.815052
335,-11.182034
336,-10.391753
337,-9.353375
338,-7.787616
339,-5.878999
340,-4.0619035
341,-2.9734807
342,-2.5655363
343,-2.2830198
344,-2.0375037
345,-1.8696649
346,-1.7434231
347,-1.646204
348,-1.5735028
349,-1.4600596
350,-1.3379121
351,-1.2268116
352,-1.1068586
353,-1.005325
354,-0.9166995
355,-0.8307228
356,-0.7584597
357,-0.71350724
358,-0.6734039
359,-0.6400918
360,-0.60797226
361,-0.58246005
362,-0.5576586
363,-0.5390822
364,-0.52428627
365,-0.50783
366,-0.497927
367,-0.4928608
368,-0.49487925
369,-0.4997128
370,-0.99527717
371,-1.4870211
372,-1.4859996
373,-1.4708079
374,-1.4545718
375,-1.4391216
376,-1.4187356
377,-1.3909932
378,-1.3529025
379,-1.2947996
380,-1.2095045
381,-1.095147
382,-0.9813155
383,-0.8933559
384,-0.82997686
385,-0.79157627
386,-0.7645874
387,-0.7519152
388,-0.86401963
389,-0.9758533
390,-1.0451303
391,-0.9842245
392,-0.9548284
393,-0.9669693
394,-1.0295111
395,-1.1877991
396,-1.4384937
397,-1.6920825
398,-2.0309627
399,-2.5371842
