PartNumber,Inductance_uH,DCR_mOhm,Isat_A,Irms_A,MaxTemp_C,VoltageRating_V,Length_mm,Width_mm,Height_mm,Mounting,AECGrade,Price
XEL6060-102,1,4.07,20,23.2,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6020-102,1,8,13.4,13.9,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-102,1,4.9,17.7,18.1,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-102,1,2.9,23,22,165,80,6.91,6.71,6.1,SM,1,$0.88
XFL7015-102,1,16,7.4,10.5,165,20,8,8,1.5,SM,1,$1.21
XAL7020-102,1,10.8,18,11,165,60,8,8,2,SM,1,$0.83
XAL7030-102,1,5,28,21.8,165,60,8,8,3.1,SM,1,$1.06
XAL7070-102,1,2.81,34.8,25,165,60,8,7.7,7,SM,1,$1.28
XAL8080-102,1,2.33,31.3,34.1,165,60,8.8,8.3,8,SM,1,$3.29
XAL1030-102,1,4.95,35,23,165,60,11.8,10.5,3.1,SM,1,$1.65
XGL1060-102,1,2,48,39.9,165,60,11.8,10.5,6,SM,1,$2.06
XAL1010-102,1,1.1,55,43.5,165,60,11.8,10.5,10,SM,1,$2.14
XAL1580-102,1,1.12,73.5,57.5,165,60,16.4,15.4,8.2,SM,1,$2.77
XAL1350-931,0.93,2.2,60,33,165,60,14.2,13.2,5,SM,1,$3.02
XEL3530-901,0.9,14.6,5.9,8.4,165,80,3.65,3.35,3,SM,1,$0.67
XGL4025-901,0.9,7.4,9.6,13.7,165,80,4.3,4.3,2.5,SM,1,$0.63
XEL4030-901,0.9,8.8,10,11.2,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-901,0.9,8.8,10,11.2,165,120,4.3,4.3,3.1,SM,1,$0.73
XEL5020-901,0.9,12.53,13.9,10,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5020-901,0.9,8,11.8,15.6,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-901,0.9,5.2,14.5,19.7,165,80,5.68,5.48,3.1,SM,1,$0.99
XEL5050-901,0.9,5.6,17.2,19.6,165,80,5.68,5.48,5.3,SM,1,$0.85
XAL6020-901,0.9,11.1,19.1,15.2,165,60,6.76,6.56,2.1,SM,1,$0.77
XFL2010-821,0.82,61,1.95,2.15,165,40,2.2,2.1,1,SM,1,$0.60
XGL3512-821,0.82,28.2,5.1,7.4,165,80,3.65,3.35,1.2,SM,1,$0.61
XGL3515-821,0.82,18.4,5.3,8.5,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-821,0.82,12,6.2,10.4,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-821,0.82,9.2,6.7,12.5,165,80,3.65,3.35,3,SM,1,$0.67
XGL4015-821,0.82,15.4,7.9,9.7,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4018-821,0.82,11.6,8.3,11,165,80,4.3,4.3,1.8,SM,1,$0.61
XGL4020-821,0.82,8.6,9.4,14,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4020-821,0.82,13,10.2,11.5,165,80,4.3,4.3,2.1,SM,1,$0.63
XEL4020V-821,0.82,13,10.2,11.5,165,120,4.3,4.3,2.1,SM,1,$0.71
XGL4025-821,0.82,7.2,10.1,14.4,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL5020-821,0.82,6.8,12.3,17.1,165,80,5.68,5.48,2.1,SM,1,$0.75
XGL5030-821,0.82,4.6,16.7,21.1,165,80,5.68,5.48,3.2,SM,1,$0.99
XGL5050-821,0.82,3.5,15.5,22.9,165,80,5.68,5.48,5.1,SM,1,$0.85
XEL6030-821,0.82,5.6,21,16,165,80,6.76,6.56,3.2,SM,1,$1.06
XEL6060-821,0.82,3.33,20,25.7,165,80,6.76,6.56,6.1,SM,1,$0.88
XGL6030-821,0.82,4,21,21,165,80,6.91,6.71,3.1,SM,1,$1.06
XEL3520-801,0.8,23.55,5.6,8.3,165,80,3.65,3.35,2,SM,1,$0.67
XAL5020-801,0.8,11.8,12,13,165,60,5.68,5.48,2,SM,1,$0.75
XAL5030-801,0.8,5.65,18.5,13,165,60,5.68,5.48,3.1,SM,1,$0.99
XFL6012-801,0.8,20.7,9.3,9.4,165,20,6.76,6.56,1.2,SM,1,$1.13
XAL7070-801,0.8,2.29,37.8,25.8,165,60,8,7.7,7,SM,1,$1.28
XGL1010-801,0.8,1.1,64,48,165,60,11.8,10.5,10,SM,1,$2.14
XEL4014-781,0.78,22.8,9.8,6.5,165,120,4.3,4.3,1.4,SM,1,$0.58
XEL4014V-781,0.78,22.8,9.8,6.5,165,120,4.3,4.3,1.4,SM,1,$0.65
XGL4030-761,0.76,5.5,11.8,14.2,165,80,4.3,4.3,3.1,SM,1,$0.65
XAL1580-741,0.74,0.86,86,59.7,165,60,16.4,15.4,8.2,SM,1,$2.77
XGL5050-721,0.72,3.3,16.8,23.5,165,80,5.68,5.48,5.1,SM,1,$0.85
XGL3530-701,0.7,8,7.3,12.9,165,80,3.65,3.35,3,SM,1,$0.67
XFL4015-701,0.7,10.45,6.3,10.1,165,20,4.3,4.3,1.6,SM,1,$0.67
XFL3012-681,0.68,40,2.7,2.8,125,40,3.2,3.2,1.3,SM,3,$0.52
XGL3515-681,0.68,13.3,6.4,9.5,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-681,0.68,9.7,6.6,12.4,165,80,3.65,3.35,2,SM,1,$0.67
XEL3530-681,0.68,11.85,6.2,9.2,165,80,3.65,3.35,3,SM,1,$0.67
XGL4015-681,0.68,10.1,9,11,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4018-681,0.68,8.9,9.4,12.4,165,80,4.3,4.3,1.8,SM,1,$0.61
XGL4025-681,0.68,6.3,11,16.4,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4040-681,0.68,4,10.5,18.3,165,80,4.3,4.3,4.1,SM,1,$0.67
XFL5015-681,0.68,9.4,8.5,11.3,165,20,5.68,5.48,1.5,SM,1,$0.73
XGL5020-681,0.68,6.1,14,17.6,165,80,5.68,5.48,2.1,SM,1,$0.75
XEL5020-681,0.68,10.25,16.3,12,165,80,5.68,5.48,2.1,SM,1,$0.75
XEL5050-681,0.68,4.55,18.2,22,165,80,5.68,5.48,5.3,SM,1,$0.85
XGL6020-681,0.68,5.5,16.7,19,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-681,0.68,3.5,22,22.5,165,80,6.91,6.71,3.1,SM,1,$1.06
XGL6060-681,0.68,2.3,26.5,22.7,165,80,6.91,6.71,6.1,SM,1,$0.88
XFL7015-681,0.68,8.47,10,15,165,20,8,8,1.5,SM,1,$1.21
XAL7020-681,0.68,9.5,22.3,13,165,60,8,8,2,SM,1,$0.83
XAL8080-681,0.68,1.65,38,37,165,60,8.8,8.3,8,SM,1,$3.29
XAL1060-681,0.68,1.5,52,33.9,165,60,11.8,10.5,6,SM,1,$2.06
XAL1010-681,0.68,0.96,62,48,165,60,11.8,10.5,10,SM,1,$2.14
XGL5030-651,0.65,4,17.9,21.2,165,80,5.68,5.48,3.2,SM,1,$0.99
XAL7070-651,0.65,1.93,40,26.5,165,60,8,7.7,7,SM,1,$1.28
XEL4030-641,0.64,5.9,13.5,13.7,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL4030V-641,0.64,5.9,13.5,13.7,165,120,4.3,4.3,3.1,SM,1,$0.73
XAL1350-631,0.63,1.7,74,38,165,60,14.2,13.2,5,SM,1,$3.02
XGL3512-621,0.62,23.8,5.7,8.1,165,80,3.65,3.35,1.2,SM,1,$0.61
XGL4030-621,0.62,4.6,12.7,15,165,80,4.3,4.3,3.1,SM,1,$0.65
XFL2010-601,0.6,54,2.32,2.35,165,40,2.2,2.1,1,SM,1,$0.60
XFL3010-601,0.6,33,2.7,2.5,165,40,3.2,3.2,1.1,SM,1,$0.53
XGL3530-601,0.6,6.9,7.4,14.7,165,80,3.65,3.35,3,SM,1,$0.67
XFL4012-601,0.6,19.14,6.5,7.65,165,20,4.3,4.3,1.2,SM,1,$0.64
XGL4012-601,0.6,17.5,8.4,9,165,80,4.3,4.3,1.2,SM,1,$0.58
XGL4020-601,0.6,5.9,11.7,18.4,165,80,4.3,4.3,2.1,SM,1,$0.63
XAL4020-601,0.6,10.45,10.4,11.7,165,60,4.3,4.3,2.1,SM,1,$0.63
XAL5030-601,0.6,4.52,19.8,17.7,165,60,5.68,5.48,3.1,SM,1,$0.99
XEL5030-601,0.6,5.33,22,21.4,165,80,5.68,5.48,3.2,SM,1,$0.99
XGL5030-601,0.6,3.2,18.7,23,165,80,5.68,5.48,3.2,SM,1,$0.99
XFL6012-601,0.6,15.5,10.4,11.2,165,20,6.76,6.56,1.2,SM,1,$1.13
XAL6020-601,0.6,7.1,20.5,18.5,165,60,6.76,6.56,2.1,SM,1,$0.77
XAL7030-601,0.6,3.3,36,23,165,60,8,8,3.1,SM,1,$1.06
XFL3012-561,0.56,32,2.9,3,125,40,3.2,3.2,1.3,SM,3,$0.52
XEL3515-561,0.56,23.7,6.5,8.1,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3515-561,0.56,11.8,6.6,10.9,165,80,3.65,3.35,1.5,SM,1,$0.61
XEL3520-561,0.56,16.7,7.3,10.1,165,80,3.65,3.35,2,SM,1,$0.67
XGL3520-561,0.56,9.1,6.9,13.6,165,80,3.65,3.35,2,SM,1,$0.67
XEL4014V-561,0.56,18.4,11.6,7.5,165,120,4.3,4.3,1.4,SM,1,$0.65
XEL4014-561,0.56,18.4,11.6,7.5,165,120,4.3,4.3,1.4,SM,1,$0.58
XGL4018-561,0.56,8.2,10.3,12.9,165,80,4.3,4.3,1.8,SM,1,$0.61
XEL4020V-561,0.56,8.8,11.3,13.8,165,120,4.3,4.3,2.1,SM,1,$0.71
XEL4020-561,0.56,8.8,11.3,13.8,165,80,4.3,4.3,2.1,SM,1,$0.63
XFL4020-561,0.56,6.15,6.3,13,165,20,4.3,4.3,2.1,SM,1,$0.69
XGL4025-561,0.56,4.9,12.6,17.2,165,80,4.3,4.3,2.5,SM,1,$0.63
XAL5020-561,0.56,9.54,14.1,13.9,165,60,5.68,5.48,2,SM,1,$0.75
XGL5020-561,0.56,4.9,15.2,19.4,165,80,5.68,5.48,2.1,SM,1,$0.75
XFL5030-561,0.56,3.8,9,21,165,20,5.68,5.48,3.1,SM,1,$1.09
XGL5050-561,0.56,3,18,24,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6030-561,0.56,3.31,29,22,165,60,6.76,6.56,3.1,SM,1,$1.06
XEL6060-561,0.56,2.9,23,27.7,165,80,6.76,6.56,6.1,SM,1,$0.88
XAL1030-561,0.56,2.75,44,32,165,60,11.8,10.5,3.1,SM,1,$1.65
XAL7070-551,0.55,1.56,43,29,165,60,8,7.7,7,SM,1,$1.28
XGL3512-521,0.52,17.9,6.4,9.4,165,80,3.65,3.35,1.2,SM,1,$0.61
XGL4015-521,0.52,9.6,10.2,12,165,80,4.3,4.3,1.5,SM,1,$0.61
