PartNumber,Inductance_uH,DCR_mOhm,Isat_A,Irms_A,MaxTemp_C,VoltageRating_V,Length_mm,Width_mm,Height_mm,Mounting,AECGrade,Price
XGL5030-181,0.18,1.6,30,31.8,165,80,5.68,5.48,3.2,SM,1,$0.99
XFL6012-181,0.18,8.12,14.3,13.2,165,20,6.76,6.56,1.2,SM,1,$1.13
XAL6030-181,0.18,1.75,39,32,165,60,6.76,6.56,3.1,SM,1,$1.06
XGL6020-181,0.18,1.8,33,30.4,165,80,6.91,6.71,2.1,SM,1,$0.77
XGL6030-181,0.18,1.2,43,34.7,165,80,6.91,6.71,3.1,SM,1,$1.06
XAL1060-181,0.18,0.55,120,46,165,60,11.8,10.5,6,SM,1,$2.06
XAL5020-161,0.16,5,24.2,18.8,165,60,5.68,5.48,2,SM,1,$0.75
XGL5020-161,0.16,2.1,27,29.4,165,80,5.68,5.48,2.1,SM,1,$0.75
XAL5030-161,0.16,2.36,31,22.2,165,60,5.68,5.48,3.1,SM,1,$0.99
XGL5050-161,0.16,1.5,32,26,165,80,5.68,5.48,5.1,SM,1,$0.85
XAL6020-161,0.16,2.7,41,26,165,60,6.76,6.56,2.1,SM,1,$0.77
XAL7030-161,0.16,1.26,60,32.5,165,60,8,8,3.1,SM,1,$1.06
XAL7070-161,0.16,0.83,78,36.1,165,60,8,7.7,7,SM,1,$1.28
XAL1030-161,0.16,1.21,88,42,165,60,11.8,10.5,3.1,SM,1,$1.65
XFL2005-151,0.15,98,1.9,1.6,125,40,2.2,2.1,0.5,SM,-,$0.63
XEL3515-151,0.15,5.3,12.5,17.5,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL4040-151,0.15,1.8,21,30.2,165,80,4.3,4.3,4.1,SM,1,$0.67
XEL6030-151,0.15,1.49,45,33.3,165,80,6.76,6.56,3.2,SM,1,$1.06
XAL7020-151,0.15,2.5,46,24,165,60,8,8,2,SM,1,$0.83
XEL5050-141,0.14,1.78,39,35.1,165,80,5.68,5.48,5.3,SM,1,$0.85
XEL3520-131,0.13,4.05,13.8,25.4,165,80,3.65,3.35,2,SM,1,$0.67
XGL4025-131,0.13,1.7,24,28,165,80,4.3,4.3,2.5,SM,1,$0.63
XGL4030-131,0.13,1.8,26.5,27,165,80,4.3,4.3,3.1,SM,1,$0.65
XEL5030-131,0.13,1.83,44,35,165,80,5.68,5.48,3.2,SM,1,$0.99
XFL2010-121,0.12,22,4.9,3.7,165,40,2.2,2.1,1,SM,1,$0.60
XFL4012-121,0.12,5.88,11.3,13.2,165,20,4.3,4.3,1.2,SM,1,$0.64
XGL4015-121,0.12,2.8,22,20.2,165,80,4.3,4.3,1.5,SM,1,$0.61
XGL4018-121,0.12,2,24.5,27.2,165,80,4.3,4.3,1.8,SM,1,$0.61
XFL4020-121,0.12,1.6,13.7,22,165,20,4.3,4.3,2.1,SM,1,$0.69
XAL6020-121,0.12,1.85,45,27,165,60,6.76,6.56,2.1,SM,1,$0.77
XGL4020-111,0.11,1.7,29,29,165,80,4.3,4.3,2.1,SM,1,$0.63
XGL3512-101,0.1,4,15.2,18,165,80,3.65,3.35,1.2,SM,1,$0.61
XGL3515-101,0.1,2.8,16.8,23.4,165,80,3.65,3.35,1.5,SM,1,$0.61
XGL3520-101,0.1,2.7,15.9,26.2,165,80,3.65,3.35,2,SM,1,$0.67
XGL3530-101,0.1,2.5,16.5,27.5,165,80,3.65,3.35,3,SM,1,$0.67
XGL4012-101,0.1,2.9,21.5,19.7,165,80,4.3,4.3,1.2,SM,1,$0.58
XGL4015-101,0.1,2.2,24.5,25.9,165,80,4.3,4.3,1.5,SM,1,$0.61
