time	I(Vs)
1.410712636707246e-04	-1.261047e+00
1.413448243735575e-04	-1.374217e+00
1.416183850763905e-04	-1.486964e+00
1.416187588914311e-04	-1.488119e+00
1.416191327064716e-04	-1.488117e+00
1.416195065215122e-04	-1.486957e+00
1.416198803365527e-04	-1.484641e+00
1.416202541515933e-04	-1.481166e+00
1.416206279666338e-04	-1.476535e+00
1.416210017816744e-04	-1.470746e+00
1.416214116024507e-04	-1.454506e+00
1.416216401708258e-04	-1.439056e+00
1.416218407158760e-04	-1.418682e+00
1.416220314312947e-04	-1.390965e+00
1.416222211691053e-04	-1.352890e+00
1.416224412710571e-04	-1.294386e+00
1.416227019715431e-04	-1.208980e+00
1.416230251405186e-04	-1.094830e+00
1.416234196937485e-04	-9.696008e-01
1.416237748023789e-04	-8.870410e-01
1.416241870487635e-04	-8.273898e-01
1.416246338463985e-04	-7.901142e-01
1.416251809321875e-04	-7.635019e-01
1.416256916232151e-04	-7.496079e-01
1.416257456661740e-04	-8.574882e-01
1.416257582070248e-04	-9.686476e-01
1.416257671523558e-04	-1.041832e+00
1.416257737064885e-04	-1.050299e+00
1.416259341667865e-04	-1.032983e+00
1.416260946270845e-04	-1.017383e+00
1.416262550873825e-04	-1.003498e+00
1.416264155476805e-04	-9.913286e-01
1.416265760079785e-04	-9.808747e-01
1.416267364682765e-04	-9.721364e-01
1.416268969285745e-04	-9.651137e-01
1.416272402034618e-04	-9.548765e-01
1.416273556812627e-04	-9.636911e-01
1.416275057230017e-04	-1.014100e+00
1.416276407924036e-04	-1.153256e+00
1.416277561373455e-04	-1.417283e+00
1.416278202216866e-04	-1.682501e+00
1.416278746239259e-04	-2.027652e+00
1.416279332872544e-04	-2.540798e+00
1.416280023350163e-04	-3.325946e+00
1.416280696363453e-04	-4.273058e+00
1.416281506484147e-04	-5.601877e+00
1.416283473350214e-04	-9.100705e+00
1.416284549588661e-04	-1.087250e+01
1.416284999138464e-04	-1.150247e+01
1.416285120633380e-04	-1.166089e+01
1.416285242128296e-04	-1.180104e+01
1.416285363623212e-04	-1.192290e+01
1.416285485118128e-04	-1.202648e+01
1.416285606613044e-04	-1.211177e+01
1.416285728107960e-04	-1.217878e+01
1.416285849602877e-04	-1.222751e+01
1.416286264299405e-04	-1.210988e+01
1.416286649615940e-04	-1.155840e+01
1.416286905189163e-04	-1.075876e+01
1.416287112180328e-04	-9.756482e+00
1.416287335433302e-04	-8.390054e+00
1.416287583166191e-04	-6.609386e+00
1.416287875890647e-04	-4.342777e+00
1.416288191122017e-04	-2.076329e+00
1.416288330484614e-04	-1.305352e+00
1.416288416362611e-04	-9.784710e-01
1.416288516247334e-04	-7.001251e-01
1.416288617968374e-04	-4.888945e-01
1.416288712125799e-04	-3.474278e-01
1.416288797356268e-04	-2.545408e-01
1.416288874606557e-04	-1.921800e-01
1.416288938825396e-04	-1.531167e-01
1.416289012963383e-04	-1.187369e-01
1.416289080423262e-04	-9.499509e-02
1.416289166594497e-04	-7.286876e-02
1.416289270850298e-04	-5.418573e-02
1.416289403592575e-04	-3.885071e-02
1.416289558504101e-04	-2.826479e-02
1.416289752860325e-04	-2.104832e-02
1.416289957747036e-04	-1.699697e-02
1.416290129349651e-04	-1.511482e-02
1.416290311607679e-04	-1.384557e-02
1.416290491755854e-04	-1.290954e-02
1.416290647292288e-04	-1.224729e-02
1.416290948657349e-04	-1.118948e-02
1.416291259394797e-04	-1.027671e-02
1.416291639436953e-04	-9.327739e-03
1.416291989898176e-04	-8.577818e-03
1.416292347519335e-04	-7.915617e-03
1.416292749185804e-04	-7.272941e-03
1.416293131908412e-04	-6.741329e-03
1.416293526999455e-04	-6.264417e-03
1.416293980294730e-04	-5.797867e-03
1.416294480984979e-04	-5.355558e-03
1.416294942206439e-04	-5.004923e-03
1.416295501179229e-04	-4.636956e-03
1.416296009609454e-04	-4.354920e-03
1.416296868020509e-04	-3.966367e-03
1.416297447934490e-04	-3.752883e-03
1.416298174494266e-04	-3.527492e-03
1.416299218097695e-04	-3.270924e-03
1.416300437440433e-04	-3.043577e-03
1.416301829956870e-04	-2.851793e-03
1.416303255928619e-04	-2.706134e-03
1.416304957769046e-04	-2.577990e-03
1.416306964782854e-04	-2.467987e-03
1.416309455020089e-04	-2.369105e-03
1.416312607185393e-04	-2.275328e-03
1.416317929890791e-04	-2.155244e-03
1.416332658389538e-04	-1.884160e-03
1.416347386888285e-04	-1.637384e-03
1.416362115387033e-04	-1.414914e-03
1.416376843885780e-04	-1.216753e-03
1.416391572384527e-04	-1.042899e-03
1.416406300883275e-04	-8.933519e-04
1.416421029382022e-04	-7.681126e-04
1.416433642319132e-04	-6.740649e-04
1.416446410469354e-04	-5.913911e-04
1.416460221470408e-04	-5.138150e-04
1.416471826727185e-04	-4.561969e-04
1.416482752995764e-04	-4.084585e-04
1.416492832328050e-04	-3.692610e-04
1.416499679142394e-04	-3.449806e-04
1.416514735467136e-04	-2.965864e-04
1.416525658176917e-04	-2.661214e-04
1.416539284257614e-04	-2.328697e-04
1.416553253242962e-04	-2.031760e-04
1.416566210323770e-04	-1.791082e-04
1.416579999600756e-04	-1.569583e-04
1.416590151418593e-04	-1.424701e-04
1.416605009529953e-04	-1.238157e-04
1.416616172522710e-04	-1.115637e-04
1.416626651750191e-04	-1.013058e-04
1.416638296109557e-04	-9.103801e-05
1.416652045902918e-04	-8.040038e-05
1.416663045939299e-04	-7.290968e-05
1.416674369437878e-04	-6.605378e-05
1.416687673768853e-04	-5.886608e-05
1.416697255106948e-04	-5.436426e-05
1.416706836445043e-04	-5.019653e-05
1.416716417783138e-04	-4.636290e-05
1.416725999121234e-04	-4.286335e-05
1.416735580459329e-04	-3.969790e-05
1.416745161797424e-04	-3.686653e-05
1.416754743135519e-04	-3.436926e-05
1.416767791078653e-04	-3.124752e-05
1.416781768616262e-04	-2.830786e-05
1.416795517423831e-04	-2.580794e-05
1.416813392210335e-04	-2.303852e-05
1.416830857211403e-04	-2.074748e-05
1.416842142339982e-04	-1.950677e-05
1.416853427468560e-04	-1.836972e-05
1.416864712597138e-04	-1.733633e-05
1.416875997725716e-04	-1.640659e-05
1.416887282854294e-04	-1.558051e-05
1.416898567982872e-04	-1.485809e-05
1.416909853111450e-04	-1.423932e-05
1.416924519574842e-04	-1.353073e-05
1.416939186038234e-04	-1.289313e-05
1.416953852501625e-04	-1.232652e-05
1.416968518965017e-04	-1.183091e-05
1.416983185428408e-04	-1.140630e-05
1.416997851891800e-04	-1.105269e-05
1.417012518355192e-04	-1.077007e-05
1.417033340734501e-04	-1.042968e-05
1.417054163113809e-04	-1.013189e-05
1.417074985493118e-04	-9.876715e-06
1.417095807872427e-04	-9.664146e-06
1.417116630251735e-04	-9.494183e-06
1.417137452631044e-04	-9.366827e-06
1.417158275010353e-04	-9.282079e-06
1.417196922438389e-04	-9.158778e-06
1.417235569866424e-04	-9.056418e-06
1.417274217294460e-04	-8.974997e-06
1.417312864722495e-04	-8.914516e-06
1.417351512150531e-04	-8.874976e-06
1.417390159578567e-04	-8.856375e-06
1.417428807006602e-04	-8.858714e-06
1.418105724911520e-04	-8.840068e-06
1.418782642816439e-04	-8.824952e-06
1.419459560721357e-04	-8.813369e-06
1.420136478626275e-04	-8.805316e-06
1.420813396531193e-04	-8.800795e-06
1.421490314436111e-04	-8.799805e-06
1.422167232341029e-04	-8.802346e-06
1.422202108552388e-04	-8.802197e-06
1.424743092104607e-04	-8.793341e-06
1.427284075656825e-04	-8.786553e-06
1.429825059209044e-04	-8.781834e-06
1.432366042761262e-04	-8.779185e-06
1.434907026313481e-04	-8.778604e-06
1.437448009865699e-04	-8.780092e-06
1.439988993417918e-04	-8.783650e-06
1.439990031025015e-04	-7.552081e-04
1.439990271809325e-04	-8.341225e-04
1.439990478891975e-04	-1.762415e-04
1.439990606808693e-04	9.955100e-05
1.439990762652824e-04	-5.481338e-06
1.439990874861153e-04	-9.054010e-06
1.439990997899308e-04	-8.021458e-06
1.439991125297664e-04	-8.424135e-06
1.439991277753434e-04	-8.318012e-06
1.439991492465337e-04	-8.470179e-06
1.439992587543753e-04	-8.684154e-06
1.439993303510578e-04	-8.762561e-06
1.439993397034014e-04	-8.643301e-06
1.439993397354903e-04	-8.210704e-06
1.439993397996677e-04	-8.117707e-06
1.439993399280229e-04	-8.465871e-06
1.439993401847334e-04	-8.686700e-06
1.439993403772660e-04	-8.742517e-06
1.439993406339764e-04	-8.688988e-06
1.439993411473969e-04	-8.664431e-06
1.439993442279210e-04	-8.739288e-06
1.439994683689752e-04	-8.758321e-06
1.439995925100294e-04	-8.773190e-06
1.439997166510837e-04	-8.783894e-06
1.439998407921379e-04	-8.790433e-06
1.439999649331921e-04	-8.792808e-06
1.440000890742463e-04	-8.791018e-06
1.440002132153005e-04	-8.785063e-06
1.440109626655965e-04	-8.772387e-06
1.440117704929484e-04	-2.702236e-03
1.440121656198549e-04	-2.036685e-03
1.440123060944334e-04	6.357123e-04
1.440123560348767e-04	-2.275670e-03
1.440123624728475e-04	-2.375619e-03
1.440123664796303e-04	-1.719535e-03
1.440123702599024e-04	-1.156098e-03
1.440123747259705e-04	-8.652608e-04
1.440123814222725e-04	-6.353597e-04
1.440123876215614e-04	-5.400341e-04
1.440123957226172e-04	-4.959597e-04
1.440124049733472e-04	-4.814177e-04
1.440124148499658e-04	-4.807661e-04
1.440124973260580e-04	-5.240228e-04
1.440125798021503e-04	-5.727929e-04
1.440126622782425e-04	-6.270764e-04
1.440127447543348e-04	-6.868733e-04
1.440128272304270e-04	-7.521836e-04
1.440129097065192e-04	-8.230074e-04
1.440129921826115e-04	-8.993446e-04
1.440132474063139e-04	-1.213358e-03
1.440137224549319e-04	-2.220255e-03
1.440141502861863e-04	-4.117645e-03
1.440144917257608e-04	-7.400230e-03
1.440147047927802e-04	-1.171940e-02
1.440148965301626e-04	-1.908928e-02
1.440150593274439e-04	-3.018747e-02
1.440152260807600e-04	-4.854215e-02
1.440154184563966e-04	-7.720500e-02
1.440156260130738e-04	-1.106058e-01
1.440158347556131e-04	-1.393765e-01
1.440160340061237e-04	-1.583336e-01
1.440162964422924e-04	-1.731964e-01
1.440165126423056e-04	-1.797200e-01
1.440167210354183e-04	-1.824069e-01
1.440169308556671e-04	-1.831411e-01
1.440173636861777e-04	-1.815964e-01
1.440178056450027e-04	-1.782659e-01
1.440180380303420e-04	-1.725687e-01
1.440181028638772e-04	-1.699291e-01
1.440182908223276e-04	-1.680147e-01
1.440184787807779e-04	-1.661426e-01
1.440186667392282e-04	-1.643128e-01
1.440188546976786e-04	-1.625254e-01
1.440190426561289e-04	-1.607803e-01
1.440192306145792e-04	-1.590775e-01
1.440194185730295e-04	-1.574171e-01
1.440202363384674e-04	-1.490402e-01
1.440208250657908e-04	-1.416706e-01
1.440214634180828e-04	-1.322806e-01
1.440218088480032e-04	-1.294090e-01
1.440221872233364e-04	-1.413720e-01
1.440226119193279e-04	-2.071037e-01
1.440229060046079e-04	-3.389126e-01
1.440231256923646e-04	-5.489874e-01
1.440233020520748e-04	-8.468460e-01
1.440234904272232e-04	-1.344801e+00
1.440236803519298e-04	-2.058741e+00
1.440238437329117e-04	-2.867241e+00
1.440240042020792e-04	-3.830891e+00
1.440241817725388e-04	-5.025744e+00
1.440243846509781e-04	-6.473202e+00
1.440248476983208e-04	-9.885232e+00
1.440251282122142e-04	-1.171206e+01
1.440252919931448e-04	-1.236143e+01
1.440253822000228e-04	-1.228566e+01
1.440254416497245e-04	-1.183985e+01
1.440254804481985e-04	-1.121883e+01
1.440255103173620e-04	-1.043902e+01
1.440255386118403e-04	-9.418442e+00
1.440255745710577e-04	-7.849302e+00
1.440256135914831e-04	-5.996702e+00
1.440256552347153e-04	-4.114192e+00
1.440256873772271e-04	-2.951622e+00
1.440257037472440e-04	-2.543226e+00
1.440257201866528e-04	-2.270088e+00
1.440257407501482e-04	-2.030871e+00
1.440257615881496e-04	-1.864496e+00
1.440257845639337e-04	-1.739591e+00
1.440258092815574e-04	-1.642602e+00
1.440258327668953e-04	-1.570991e+00
1.440258795238842e-04	-1.458515e+00
1.440259408592641e-04	-1.336078e+00
1.440260053373783e-04	-1.224959e+00
1.440260862276849e-04	-1.104093e+00
1.440261665608678e-04	-1.002427e+00
1.440262493963541e-04	-9.142340e-01
1.440263452532672e-04	-8.300402e-01
1.440264474089426e-04	-7.579481e-01
1.440265256230718e-04	-7.130187e-01
1.440266093156706e-04	-6.730874e-01
1.440266940572464e-04	-6.397930e-01
1.440267953874744e-04	-6.077399e-01
1.440268984500203e-04	-5.822890e-01
1.440270296872506e-04	-5.576242e-01
1.440271648659296e-04	-5.390980e-01
1.440273175139818e-04	-5.243363e-01
1.440276023697926e-04	-5.079249e-01
1.440279890052064e-04	-4.978885e-01
1.440286392442565e-04	-4.927145e-01
1.440321820553509e-04	-4.931766e-01
1.440357248664453e-04	-4.938661e-01
1.440392676775397e-04	-4.947828e-01
1.440428104886341e-04	-4.959267e-01
